customer_id,first_name,last_name,email,city,country,signup_date
1,Jason,Combs,gonzaleschristopher@example.org,West David,Barbados,2023-01-26
2,Kenneth,Castaneda,hojames@example.net,Jessicabury,Dominican Republic,2023-01-29
3,Alexis,Stewart,robert36@example.org,Millerside,Grenada,2024-05-03
4,Casey,Patton,moraleswilliam@example.net,West Jenniferchester,Turks and Caicos Islands,2024-06-03
5,Andrew,French,whitekimberly@example.org,South Alvin,United Kingdom,2025-10-23
6,Leslie,Foster,linda82@example.org,Mccarthyville,Romania,2024-03-10
7,Kevin,Mcdonald,mbass@example.net,Jasonhaven,Indonesia,2024-12-17
8,William,Mills,miguel75@example.net,Katieview,Bangladesh,2023-02-11
9,Stephen,Flynn,paularivera@example.com,Port Brittanybury,China,2026-03-10
10,Sabrina,Ryan,tsmith@example.com,Lake Gregory,Azerbaijan,2024-04-23
11,Elizabeth,Palmer,potterjustin@example.com,Eugeneton,Turks and Caicos Islands,2026-04-16
12,Nicholas,Meyer,michele80@example.net,Williamsfort,Pitcairn Islands,2025-07-08
13,Amanda,Santos,markchang@example.org,Brittneyport,Northern Mariana Islands,2026-01-29
14,Emily,Hardin,michael89@example.com,Darrellview,Christmas Island,2025-05-11
15,Heather,Kent,vbrown@example.net,Stevenbury,Pitcairn Islands,2024-07-02
16,Jon,Foster,ojenkins@example.net,South Chelseaton,Timor-Leste,2023-01-25
17,Adrian,Sandoval,jamesholland@example.net,Joneschester,Isle of Man,2023-05-31
18,Christy,Adams,annejenkins@example.com,West Patrick,Nicaragua,2022-11-13
19,Mercedes,Nelson,crystal55@example.org,Jillchester,Bahrain,2023-09-15
20,Reginald,Jones,cortezkayla@example.org,Lake Johnton,Fiji,2022-12-27
21,Rhonda,Schroeder,jordanjamie@example.net,South Saraton,Saint Kitts and Nevis,2024-03-13
22,Timothy,Torres,lopezchristopher@example.org,Saramouth,Zimbabwe,2026-02-25
23,Michael,Williams,kevin31@example.com,Jacobborough,Barbados,2026-01-17
24,Karen,Evans,aaron60@example.net,Latoyaburgh,Singapore,2025-09-24
25,Summer,Frederick,leescott@example.org,Daviston,Kenya,2026-05-15
26,Angela,Shepherd,ashley87@example.net,East Robertbury,United States Virgin Islands,2024-10-15
27,Rachael,Rowe,johnortiz@example.com,East Kaitlin,Saudi Arabia,2023-10-06
28,Taylor,Calhoun,iosborne@example.com,Milesborough,Angola,2022-10-07
29,Mark,Williams,boonelauren@example.org,East Leah,Morocco,2025-04-24
30,Juan,Hall,owalker@example.org,Johnstonmouth,Niue,2024-03-14
31,Joseph,Miller,carlos62@example.org,North Marktown,American Samoa,2023-02-19
32,Jonathan,Macdonald,adamsjustin@example.net,South Catherine,Albania,2024-10-18
33,Ashley,Howe,tshaw@example.org,Williamhaven,Haiti,2023-04-17
34,Willie,Roberts,ihartman@example.com,Armstrongview,British Virgin Islands,2024-05-18
35,Michael,Lopez,qphillips@example.com,North Samanthaville,Andorra,2025-01-07
36,David,Mora,gordonkevin@example.org,South Jeffrey,Tajikistan,2025-01-19
37,Albert,Byrd,nicholascooley@example.com,West Scottchester,Micronesia,2025-09-05
38,Donna,Rangel,reneeford@example.net,Jamieshire,Croatia,2026-01-19
39,Carl,Ross,ramosdonald@example.org,East Kristiberg,Nigeria,2024-03-05
40,Elizabeth,Pearson,kellyhill@example.com,Gabrielmouth,Cameroon,2025-12-03
41,Tonya,Burnett,martinxavier@example.org,Marshallmouth,American Samoa,2025-10-14
42,Kendra,Mitchell,thomas59@example.org,South Joshuastad,Bhutan,2025-08-02
43,Autumn,Collins,njimenez@example.com,South Traciport,Taiwan,2023-10-25
44,Justin,Sosa,xayers@example.net,Hickston,Sierra Leone,2025-05-14
45,David,Dennis,april00@example.com,West Ericside,Colombia,2023-06-07
46,Jessica,Thompson,sanchezmatthew@example.org,Adamburgh,Malta,2025-05-17
47,Matthew,Combs,bcastillo@example.com,Gonzalesfurt,Australia,2023-04-02
48,Raymond,Guerrero,nicole64@example.com,Amyfurt,Kazakhstan,2025-02-08
49,Harry,Simmons,millerjeffrey@example.com,Mossshire,Peru,2022-11-18
50,Anthony,Roberts,pnielsen@example.net,Angelaport,Zimbabwe,2025-02-15
51,Daniel,Smith,fromero@example.com,Juliefurt,Bulgaria,2026-06-26
